"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-07-22",,,"81","H,,S","86",",,S","76",",,S"
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-07-23",,,"81","H,,S","87",",,S","78",",,S"
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-07-24",,,"85","H,,S","93",",,S","77",",,S"
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-07-25",,,"87","H,,S","93",",,S",,
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-07-26",,,"81","H,,S","89",",,S","77",",,S"
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-07-27",,,"84","H,,S","96",",,S","77",",,S"
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-07-28",,,"83","H,,S","93",",,S",,
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-07-29",,,"78","H,,S","82",",,S","77",",,S"
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-07-30",,,"78","H,,S",,,"75",",,S"
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-07-31",,,"80","H,,S",,,"75",",,S"
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-08-02",,,"88","H,,S","95",",,S",,
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-08-03",,,"85","H,,S",,,"79",",,S"
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-08-05",,,"86","H,,S","94",",,S","77",",,S"
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-08-08",,,"88","H,,S","97",",,S",,
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-08-09",,,"88","H,,S","97",",,S","77",",,S"
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-08-10",,,"87","H,,S","97",",,S","77",",,S"
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-08-11",,,"88","H,,S","98",",,S","79",",,S"
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-08-15",,,"84","H,,S","91",",,S",,
